question,answers,correctAnswer
"I.11 Defina “LICENCIA DE RADIOAFICIONADO”:","Autorización que otorga un Radio Club reconocido a todas aquellas personas físicas o jurídicas que han cumplido con los requisitos reglamentarios.|Autorización que otorga la Autoridad de Aplicación a todas aquellas personas jurídicas que hayan cumplido con los requisitos reglamentarios para obtener licencia, no facultando a instalar y operar estaciones del Servicio de Radioaficionados|Autorización que otorga la Autoridad de Aplicación a todas aquellas personas físicas y jurídicas que han cumplido con los requisitos establecidos en el Reglamento. Su otorgamiento las faculta a instalar y operar estaciones en sus respectivas bandas de frecuencia, categorías y condiciones.|Autorización que otorga la Autoridad de Aplicación a todas aquellas personas jurídicas que han cumplido con los requisitos reglamentarios para obtener licencia y lo faculta para instalar y operar estaciones de Radioaficionado","2"
"I.12 ¿Cuál es la sigla del PERMISO INTERNACIONAL DE RADIOAFICIONADOS?","I.A.R.P.|P.I.R.A.|I.R.P.A.","0"
"I.13 Defina “PERMISO INTERNACIONAL DE RADIOAFICIONADOS”:","Autorización extendida por la Autoridad de Aplicación de acuerdo con lo previsto en la Ley 24.730 y la Resolución 3745 SC/1997.|Autorización extendida por la Autoridad de Aplicación de acuerdo con lo previsto en la Resolución SC 50/1998.","0"
"I.14 Defina “SEÑAL DISTINTIVA”:","Identificación otorgada por la Autoridad de Aplicación a un Radioaficionado, Radio Club, Institución Autorizada o Institución Reconocida.|Identificación otorgada por IARU a un Radioaficionado, Radio Club, Institución Autorizada o Institución Reconocida.|Código que representa una clase de emisión, compuesta por el tipo de modulación, anchura de banda y naturaleza de la información.","0"
"I.15 Defina “CATEGORÍA” de Radioaficionado:","Es el nivel de calificación que otorga la Autoridad de Aplicación a los titulares de licencias comerciales que hayan cumplido con los requisitos establecidos.|Es el nivel de calificación que otorgan los a los titulares de licencia de Radioaficionado que hayan cumplido con los requisitos que para cada una de ellas se exige.|Nivel de calificación que otorga la Autoridad de Aplicación a aquel Radioaficionado que cumpla con los requisitos establecidos en el Reglamento. Cada categoría conlleva derechos y obligaciones asociados a la misma.|Es el nivel de calificación que otorga la Autoridad de Aplicación a los titulares de licencia de radiodifusión.","2"
"I.16 Defina “CONTACTO DE DX”:","Se conviene en denominar así a aquellos comunicados de duración ilimitada en donde se intercambian datos, comentarios técnicos y nombre de los operadores.|Comunicados entre estaciones que, por la distancia que las separa, inaccesibilidad geográfica, u otro factor de dificultad, no resulte frecuente la comunicación. Se realizan en los segmentos de bandas en que los contactos DX tienen prioridad y se limitan exclusivamente a intercambios de comunicación mínima e indispensable, con el objeto de facilitar la mayor cantidad de contactos posibles.|Se conviene en denominar así a aquellos comunicados con varios Radioaficionados a la vez, en los que se intercambian datos técnicos, nombre de los operadores, domicilios y números de orden.|Se conviene en denominar así a aquellos comunicados en los que se intercambian datos, comentarios generales, nombre de los operadores y datos de las estaciones.","1"
"I.17 Defina “ESTACIÓN REPETIDORA DE AFICIONADO”:","Estación destinada a la retransmisión automática de las comunicaciones que se realicen en el Servicio de Radioaficionados, reservada únicamente al titular de la misma.|Estación destinada a la transmisión de comunicaciones que se realicen en la actividad comercial de radio y abierta a todos los usuarios.|Estación fija, destinada a la retransmisión automática de las comunicaciones que se realicen en el Servicio de Radioaficionados y abierta al tráfico general de los mismos, caracterizada por la señal distintiva del titular de la estación, posición geográfica, subtono y frecuencia asignada.|Estación destinada a la retransmisión automática de las comunicaciones que se realicen en el Servicio de Radioaficionados, reservada únicamente a los Radio Clubes titulares de la misma.","2"
"I.18 Defina “REPETIDOR DIGITAL (Digipeater)”:","Estación capaz de recibir y retransmitir información digital por paquete (Packet - Radio), en tiempo real, en la misma frecuencia, con capacidad de enlazar dos estaciones automáticamente. Se identifica con la señal distintiva del titular.|Estación capaz de recibir información digital, en distinta frecuencia, con capacidad de enlazar dos estaciones automáticamente. Se identifica con la señal distintiva del titular.|Estación capaz de recibir y retransmitir información emitida en cualquier modo, en tiempo real, en la misma frecuencia y con capacidad para enlazar varias estaciones a la vez.|Estación capaz de recibir información analógica, en distinta frecuencia con capacidad de enlazar dos estaciones automáticamente. Se identifica con la señal distintiva del titular.","0"
"I.19 Defina “CONTROLADOR NODO TERMINAL (TNC)”:","Es una unidad o programa que permite la conexión radial entre transceptores para el envío de datos analógicos. Se identifica con la señal distintiva del titular|Unidad o programa que permite la conexión entre computadoras y equipos de radio, para la recepción y transmisión de datos digitales mediante un módem, en las bandas y modos atribuidos al Servicio de Radioaficionados. Se identifica con la señal distintiva del titular.|Es un equipo que permite la retransmisión automática de mensajes analógicos emitidos desde un radioaficionado a otro.|Es un transceptor que permite la retransmisión automática de mensajes analógicos emitidos desde un radioaficionado a otro.","1"
"I.20 Defina “SISTEMA DE BOLETINES Y BASE DE DATOS (BBS)”:","Sistema automático, compuesto por computadoras, equipos radioeléctricos y Controladores Nodo Terminal que permite el almacenamiento y la distribución de mensajes y archivos de Radioaficionados. El ingreso y utilización del mismo por parte de los Radioaficionados es sin ningún tipo de limitación de acceso o de impedimento de uso. Su responsable es el titular de la licencia y se identifica con la señal distintiva del mismo.|Sistema manual, compuesto de transceptor y computadora, que agiliza el tránsito de paquetes digitales y distribuye información relativa a la actividad.|Sistema automático, atendido o no, compuesto de uno o más equipos, que permite el contacto entre dos estaciones que emiten comunicaciones analógicas.|Sistema manual, compuesto de transceptor y antena, que agiliza el tránsito de paquetes analógicos y distribuye información relativa a la actividad.","0"
"I.21 Defina “SISTEMA DE MENSAJES PERSONALES (PMS/PBBS)”:","Controlador Nodo Terminal (CNT) para almacenamiento de mensajes personales. Realiza correo electrónico y se identifica con la señal distintiva del titular.|Transceptor que posibilita el envío de mensajes generales dentro del correo electrónico entre Radioaficionados.|TNC para almacenamiento de mensajes abiertos al tráfico general del correo electrónico de radioescuchas.|Transceptor que posibilita el envío de mensajes en general dentro del correo electrónico entre estaciones de banda ciudadana.","0"
"I.22 Defina “DISTRIBUCIÓN DE MENSAJES (Forwarding)”:","Mecanismo utilizado por los BBS´s para la distribución de mensajes con otros BBS´s|Mecanismo utilizado por los digipeaters y TNC´s para almacenar mensajes.|Mecanismo utilizado por las repetidoras del Servicio de Radioaficionados para distribuir y almacenar mensajes analógicos.|Mecanismo utilizado por los Nodos para almacenar mensajes personales.","0"
"I.23 Defina “TARJETA QSL","Confirmación (postal o virtual) que intercambian los Radioaficionados por sus comunicados realizados y los Radioescuchas por los comunicados recepcionados.|Confirmación que intercambian los Radioaficionados en todos sus comunicados realizados y los radioescuchas por los comunicados recepcionados de estaciones de Radioaficionados.|Confirmación que intercambian los Radioaficionados en todos sus comunicados realizados y los radioescuchas por los comunicados bilaterales con estaciones de Radioaficionados.|Confirmación que intercambian los Radioaficionados por sus primeros comunicados realizados y los radioescuchas por los comunicados bilaterales con estaciones de Radioaficionado.","0"
"I.24 Defina “INSTRUCTORES”:","Miembros del Radio Club que tomará los exámenes y que se desempeñaron como Instructores de cursos. No podrán intervenir, junto con los miembros de comisión directiva y veedores en la evaluación de los exámenes.|Radioaficionado nombrado por el Radio Club, Institución Autorizada o Institución Reconocida, que por su capacidad, experiencia y estudio acredita la competencia necesaria para el dictado de cursos y/o coordinación de Prácticas Operativas, y que estará presente durante la toma y evaluación de los exámenes, según corresponda.|Miembros de otro Radio Club que, pese a no haber actuado como instructores, podrán intervenir junto con los miembros de comisión directiva en la evaluación de los exámenes.|Miembros de otro Radio Club que, pese a no haberse desempeñado como Instructores, podrán intervenir, junto con los Veedores Voluntarios en la evaluación de los exámenes.","1"
"I.25 Defina “CÓDIGO MORSE”","Comunicados entre estaciones que, por la distancia que las separa, inaccesibilidad geográfica, u otro factor de dificultad, no resulte frecuente la comunicación. Se realizan en los segmentos de bandas en que los contactos DX tienen prioridad y se limitan exclusivamente a intercambios de comunicación mínima e indispensable, con el objeto de facilitar la mayor cantidad de contactos posibles.|Sistema de escritura, estandarizado conforme a la Recomendación UIT-R M.1677-1 o sucesivas, que representa las letras del alfabeto, números y otros signos mediante una combinación de sonidos cortos (“puntos”), sonidos largos (“rayas”) y silencios (“espacios”).|Condición de operación en que la estación transmite con una potencia máxima de 5 W (CINCO WATTS) (CW) o de 10 W (DIEZ WATTS) (SSB).","1"
I.26 Defina “ESTACIÓN DEL SERVICIO DE RADIOAFICIONADO”:,"Estación radioeléctrica compuesta por uno o más transmisores, receptores o transceptores, incluyendo los sistemas irradiantes y las instalaciones accesorias, necesarios para operar en el Servicio de Radioaficionados. La misma podrá ser “Fija”, instalada en un domicilio, o cuando no tenga capacidad de trasladarse mientras se encuentra en operación; “Móvil”, instalada y con capacidad de operación en un vehículo terrestre, marítimo o aéreo; ""Móvil de mano"", cuando sea transportable manualmente, con fuente de alimentación autónoma y antena incorporada, con capacidad de operación.|Estación fija, destinada a la retransmisión automática de las comunicaciones que se realicen en el Servicio de Radioaficionados y abierta al tráfico general de los mismos, caracterizada por la señal distintiva del titular de la estación, posición geográfica, subtono y frecuencia asignada.|Estación radioeléctrica compuesta por uno o más transmisores, receptores o transceptores, incluyendo los sistemas irradiantes y las instalaciones accesorias, necesarios para operar en el Servicio de Radioaficionados por Satélite. La misma podrá ser “Terrena”, situada en la superficie de la Tierra, con sus variantes “Fija” y “Móvil”, o “Espacial”, situada a bordo de satélites artificiales cuyo cuerpo de referencia es la Tierra.",0
"I.27 Defina “RADIOBALIZA (RADIOFARO)”:","Estación capaz de recibir y retransmitir información digital por paquetes (Packet - Radio), en tiempo real, en la misma frecuencia, con capacidad de enlazar dos estaciones automáticamente. Se identifica con la señal distintiva del titular.|Estación transmisora del Servicio de Radioaficionados, utilizada para determinar las condiciones de propagación y/o ajuste de antenas, etc., que emite a intervalos regulares y en una única frecuencia fija, su señal distintiva y datos referidos, entre otros, a su potencia, antena y altura.|Estación fija, destinada a la retransmisión automática de las comunicaciones que se realicen en el Servicio de Radioaficionados y abierta al tráfico general de los mismos, caracterizada por la señal distintiva del titular de la estación, posición geográfica, subtono y frecuencia asignada.","1"
"I.28 Defina “ESTACIÓN DEL SERVICIO DE RADIOAFICIONADO POR SATÉLITE”:","Estación fija, destinada a la retransmisión automática de las comunicaciones que se realicen en el Servicio de Radioaficionados y abierta al tráfico general de los mismos, caracterizada por la señal distintiva del titular de la estación, posición geográfica, subtono y frecuencia asignada.|Estación capaz de recibir y retransmitir información digital por paquetes (Packet - Radio), en tiempo real, en la misma frecuencia, con capacidad de enlazar dos estaciones automáticamente. Se identifica con la señal distintiva del titular.|Estación radioeléctrica compuesta por uno o más transmisores, receptores o transceptores, incluyendo los sistemas irradiantes y las instalaciones accesorias, necesarios para operar en el Servicio de Radioaficionados por Satélite. La misma podrá ser “Terrena”, situada en la superficie de la Tierra, con sus variantes “Fija” y “Móvil”, o “Espacial”, situada a bordo de satélites artificiales cuyo cuerpo de referencia es la Tierra.","2"
"I.29 Defina “PROYECTO INTERNACIONAL DE BALIZAS (IBP)”:","Autorización extendida por la Autoridad de Aplicación de acuerdo con lo previsto en la Ley 24.730 y la Resolución 3745 SC/1997.|Red mundial de radiofaros en alta frecuencia (HF) organizado por IARU, compartiendo en la misma única frecuencia por banda entre las transmisoras (en 20, 17, 15, 12 y 10 metros).|Método de comunicación empleado por los Radioaficionados, en el que se utiliza la superficie lunar como elemento reflector de ondas de radio.","1"
"I.30 Defina “DESASTRE”:","Interacción entre una amenaza y una población vulnerable que, por su magnitud, crea una interrupción en el funcionamiento de una sociedad y/o sistema a partir de una desproporción entre los medios necesarios para superarla y aquellos medios a disposición de la comunidad afectada conforme a Ley Nº 27.287, Artículo 2º.|Situación, daño provocado por un evento adverso de origen natural o provocado por los seres humanos que, por su magnitud, puede ser atendida por los medios disponibles localmente, conforme a Ley Nº 27.287, Artículo 2º.","0"
"I.31 Defina “EMERGENCIA”:","Interacción entre una amenaza y una población vulnerable que, por su magnitud, crea una interrupción en el funcionamiento de una sociedad y/o sistema a partir de una desproporción entre los medios necesarios para superarla y aquellos medios a disposición de la comunidad afectada conforme a Ley Nº 27.287, Artículo 2º. 10|Situación, daño provocado por un evento adverso de origen natural o provocado por los seres humanos que, por su magnitud, puede ser atendida por los medios disponibles localmente, conforme a Ley Nº 27.287, Artículo 2º.","1"
"I.32 Defina “CONCURSO”:","Evento nacional y/o internacional en donde se ponen a prueba las habilidades de los Radioaficionados. Sus bases y condiciones son informadas mediante los boletines y revistas de los Radio Clubes, Instituciones Autorizadas e Instituciones Reconocidas.|Comunicados entre estaciones que, por la distancia que las separa, inaccesibilidad geográfica, u otro factor de dificultad, no resulte frecuente la comunicación. Se realizan en los segmentos de bandas en que los contactos DX tienen prioridad y se limitan exclusivamente a intercambios de comunicación mínima e indispensable, con el objeto de facilitar la mayor cantidad de contactos posibles.|Sistema de escritura, estandarizado conforme a la Recomendación UIT-R M.1677-1 o sucesivas, que representa las letras del alfabeto, números y otros signos mediante una combinación de sonidos cortos (“puntos”), sonidos largos (“rayas”) y silencios (“espacios”).","0"
"I.33 Defina “ÉTICA OPERATIVA”:","Es el conjunto de deberes, obligaciones, conductas y principios establecidos en el Reglamento y en las disposiciones, recomendaciones y procedimientos fijados por la Unión Internacional de Radioaficionados (IARU), que rigen el normal desenvolvimiento de la actividad de los Radioaficionados.|Es el conjunto de símbolos, alfabetos y códigos establecidos en el Reglamento y en las disposiciones, recomendaciones y procedimientos fijados por la Unión Internacional de Radioaficionados (IARU), que rigen el normal desenvolvimiento de la actividad de los Radioaficionados.","0"
"I.34 Defina “VEEDOR”:","Radioaficionado nombrado por el Radio Club, Institución Autorizada o Institución Reconocida, que por su capacidad, experiencia y estudio acredita la competencia necesaria para el dictado de cursos y/o coordinación de Prácticas Operativas, y que estará presente durante la toma y evaluación de los exámenes, según corresponda.|Radioaficionado de categoría GENERAL o SUPERIOR, designado por un Radio Club o Institución Autorizada, para estar presente en la sesión de exámenes, firmar las actas y certificados correspondientes e informar anormalidades si las hubiere.|Responsable de evaluar a los aspirantes al ingreso y ascenso de categorías de conformidad con los procedimientos y condiciones establecidas en el presente Reglamento.","1"
"I.35 La licencia habilita a su titular a instalar y/u operar estaciones de:","Servicio de Radioaficionados|Servicio de Radioaficionados por Satélite|Servicio de Radioaficionados y Radioaficionados por Satélite","2"
"I.36 Las estaciones del Servicio de Radioaficionados y de Radioaficionados por Satélite que operen actualmente y las que se autoricen e instalen en el futuro, dentro o fuera de las zonas de protección de las actuales o futuras Estaciones de Comprobación Técnica de Emisiones, estarán sujetas a lo dispuesto por:","Resolución SC 329/2000 o aquellas que la reemplacen o modifiquen.|LEY N° 27078.|Resolución SC 50/1998 o aquellas que la reemplacen o modifiquen","0"
"I.37 En qué circunstancias las estaciones las estaciones del Servicio de Radioaficionados y de Radioaficionados por Satélite estarán autorizadas a conectar inductiva o acústicamente, o por cualquier otro medio disponible, sus equipos radioeléctricos a las líneas telefónicas.","Exclusivamente ante emergencias.|En situaciones de interés comunitario.|En eventos propios de la actividad.|En ninguna circunstancia.","0"
"I.38 ¿Cuál es la vigencia de la licencia de radioaficionados?","1 año|5 años.|10 años|Depende de la categoría.","1"
"I.39 ¿Por qué período de tiempo se puede renovar la licencia de radioaficionados y en qué condiciones?","5 años, con renovación automática.|Indefinido.|5 años, al realizar el trámite de renovación, rehabilitación o exámen de ascenso de categoría.","2"
"I.40 ¿Cuál es la vigencia de la autorización de una Estación Repetidora?","1 año.|5 años.|5 años o hasta la cancelación o caducidad de la licencia del titular.|Depende de la categoría.","2"
"I.41 ¿Con qué intervalo de tiempo un Radioaficionado debe transmitir su señal distintiva?","5 minutos.|10 minutos.|30 minutos.|Cuando lo desee.","1"
"I.42 ¿En qué frecuencias y bajo qué condiciones se permite el funcionamiento de redes de Emergencia y/o Desastre?","En todas las bandas, en aquellos casos y en los plazos que determine la Autoridad competente en materia de protección pública, defensa civil y operaciones de socorro.|En las frecuencias designadas a tal fin, en aquellos casos y en los plazos que determine la Autoridad competente en materia de protección pública, defensa civil y operaciones de socorro|En las frecuencias designadas a tal fin, cuando el Radioaficionado lo considere necesario.","1"
"I.43 ¿Cuál es el plazo en que un radioaficionado deberá desinstalar en su totalidad las estaciones radioeléctricas y/o Repetidoras que pudiera poseer instaladas, una vez producida la caducidad de su licencia?","30 días.|60 días|90 días.|1 año.|Sin plazo, ante requerimiento de la Autoridad de Aplicación.","2"
"I.44 ¿Cuál es el plazo en que un radioaficionado deberá desinstalar en su totalidad las estaciones radioeléctricas y/o Repetidoras que pudiera poseer instaladas, ante la cancelación de su licencia?","10 días.|30 días.|90 días.|1 año.|Sin plazo, ante requerimiento de la Autoridad de Aplicación.","0"
"I.45 ¿De acuerdo al documento “Ética y Procedimientos Operativos para el Radioaficionado” de IARU, cuáles son los principios básicos que rigen el Código de Conducta del Radioaficionado?","Sentido social y espíritu fraternal.|Lealtad.|Comprensión.|No discriminación.|Buenos modales.|Objetividad.|Tolerancia.","0|2|4|6"
"I.46 ¿Cuál es la organización de Radioaficionados que representa sus intereses ante los foros internacionales?","American Radio Relay League (A.R.R.L.).|International Telecommunicationsc Union (I.T.U.).|International Amateur Radio Union (I.A.R.U.).|Comisión Interamericana de Telecomunicaciones (C.I.T.E.L.).","2"
"I.47 ¿Qué orden de observancia tiene la siguiente reglamentación para los Radioaficionados de la República Argentina?","Reglamento General de Radioaficionados - Disposiciones, recomendaciones y procedimientos de la Unión Internacional de Radioaficionados (IARU). Reglamentación UIT.|Disposiciones, recomendaciones y procedimientos de la Unión Internacional de Radioaficionados (IARU). Reglamento General de Radioaficionados, y Reglamentación UIT.|Reglamentación UIT, Disposiciones, recomendaciones y procedimientos de la Unión Internacional de Radioaficionados (IARU).y Reglamento General de Radioaficionados.","0"
"II.1 Son facultades de la Autoridad de Aplicación:","Limitar, denegar, suspender o cancelar la licencia de Radioaficionado|Asignar o modificar las señales distintivas.|Tomar exámenes de ingreso y ascenso de categorías.|Dictar cursos y fomentar la actividad a través de Prácticas Operativas.","0|1"
"III.1 ¿Qué categoría se le otorga a los Radio Clubes, Instituciones Autorizadas e Instituciones Reconocidas?","Novicio|General|Superior","1"
"III.2 ¿Cómo debe identificarse el Radioaficionado cuando opere en forma personal la estación del Radio Club?","Señal distintiva del Radio Club y señal distintiva propia.|Señal distintiva propia y señal distintiva del Radio Club.|Señal distintiva propia.|Señal distintiva del Radio Club.|","0"
"III. 3 Cuando el Radioaficionado opere en forma personal la estación del Radio Club, ¿en qué bandas puede operar?","En las bandas autorizadas a su categoría.|En las bandas correspondientes a la categoría Superior.|","0"
"III.4 En condiciones de Práctica Operativa por parte de aspirantes a obtener licencia, ¿cómo se deben identificar?","Con señal distintiva del Radio Club, aclarando “en Práctica Operativa”.|Con señal distintiva del Instructor.","0"
"III.5 ¿Quiénes podrán otorgar Certificados de Radioescuchas?","Radio Clubes.|Instituciones Autorizadas.|Instituciones Reconocidas.","0"
"III.6 ¿El Radioaficionado puede realizar trámites en forma personal ante la Autoridad de Aplicación?","Sí.|No.","1"
"III.7 ¿El Radio Club podrá poseer filiales?","Sí.|No.","0"
"III.8 ¿Bajo qué condiciones la Autoridad de Aplicación podrá autorizar filiales a un Radio Club?","En localidades dentro de la misma provincia en las que no hubiera Radio Club.|En localidades de otra provincia en las que no hubiera Radio Club.","0"
"III.9 ¿Qué categoría debe tener el Radioaficionado a cargo de la filial?","Novicio|General|Superior","1|2"
"III.10 ¿El Radioaficionado a cargo de la filial debe estar habilitado en el Libro de Actas del Radio Club?","Sí.|No.","0"
"III.11 ¿Cómo debe operarse la estación en una filial de un Radio Club?","Señal distintiva del Radio Club, agregando una barra, la palabra “filial” y el nombre de la localidad.|Señal distintiva del Radioaficionado, agregando una barra, la palabra “filial” y el nombre de la localidad.","0"
"III.12 ¿Podrán las filiales de los Radio Clubes efectuar algún tipo de trámite ante la Autoridad de Aplicación?","Sí.|No.","1"
"III.13 ¿Las Instituciones Autorizadas están habilitadas por la Autoridad de Aplicación para dictar cursos sobre técnica, reglamentación y ética operativa, telegrafía y todo otro curso afín a la actividad, como así también tomar exámenes para ingreso y ascenso de categorías de Radioaficionados.?","Sí.|No.","0"
"III.14 ¿Las Instituciones Reconocidas están autorizadas por la Autoridad de Aplicación para dictar cursos sobre técnica, reglamentación y ética operativa, telegrafía y todo otro curso afín a la actividad?","Sí.|No.","0"
"III.15 ¿Las Instituciones Reconocidas están autorizadas por la Autoridad de Aplicación para tomar exámenes para ingreso y ascenso de categorías de Radioaficionados?","Sí.|No.","1"
"III.16 ¿Las Instituciones Autorizadas pueden gestionar ante la Autoridad de Aplicación la documentación para ingreso y ascenso de categorías de Radioaficionados?","Sí.|No.","0"
"IV.1 Identifique las categorías de radioaficionados de acuerdo a la nueva reglamentación:","Inicial|Novicio|Intermedia|General|Superior|Especial","1|3|4|5"
"IV.2 ¿Quién tramita ante el ENACOM?","Radio Clubes|Radioaficionados|Instituciones Reconocidas|Instituciones Autorizadas","0|3"
"IV.3 ¿Cuál es la edad mínima para la categoría Novicio?","12 años|9 años|18 años","1"
"IV.4 ¿Cuál es la edad mínima para la categoría General?","13 años|16 años|18 años","0"
"IV.5 ¿Cuál es la potencia de RF máxima permitida para la categoría Novicio?","50 vatios|100 vatios.|150 vatios.|200 vatios","3"
"IV.6 Cuántos años de actividad en forma ininterrumpida en categoría NOVICIO hay que acreditar para ascender a categoría GENERAL?","2 años.|1 año.|5 años.|3 años.","3"
"IV.7 ¿Cada cuántos años debe renovarse la licencia de Radioaficionado?","2 años.|4 años.|5 años.|10 años.","2"
"IV.8 ¿Cuáles son los requerimientos para obtener la categoría ESPECIAL?","Categoría Superior con 60 años de actividad ininterrumpida.|Categoría Superior con 20 años de actividad ininterrumpida|Categoría Superior con 50 años de actividad ininterrumpida.|Categoría Superior con 50 años de antigüedad.","1"
"IV.9 Transcurridos 5 (CINCO) años a partir de la fecha del otorgamiento de la licencia, renovación, rehabilitación o ascenso de categoría, de qué plazo dispondrá el Radioaficionado para solicitar la renovación de la licencia por un nuevo período de 5 (CINCO) años","3 meses|12 meses|6 meses","1"
"V.1 Defina RADIOESCUCHA:","Persona debidamente autorizada que se interesa en la radiotecnia con carácter exclusivamente personal y sin fines de lucro, y que realiza actividades de instrucción, de intercomunicación y estudios técnicos. En el presente Reglamento, se asimila el término “Radioaficionado” al que internacionalmente se conoce como “Aficionado”, conforme al Reglamento de Radiocomunicaciones (RR) (Edición de 2016) de la Unión Internacional de Telecomunicaciones (UIT).|Persona física autorizada exclusivamente a la recepción de emisiones en las bandas de frecuencia atribuidas a los Servicios de Radioaficionados y de Radioaficionados por Satélite. Para acceder a dicha autorización no es necesario contar con una Licencia de Radioaficionado.","1"
"V.2 En el momento en que un Radioescucha tramita y obtiene su licencia de radioaficionado, ¿qué ocurre con su Certificado de Radioescucha?","Continúa teniendo vigencia.|Automáticamente queda dado de baja.|Le será requerido para el ascenso de categoría|Ninguna es correcta.","0"
"VI.1 Los Radioaficionados extranjeros “en tránsito” o con “residencia temporaria” en la República Argentina, ¿ante quién deben gestionar la autorización para operar desde nuestro país?","Ante los RADIO CLUBES.|Directamente ante la Autoridad de Aplicación.|La Sociedad Nacional miembro de I.A.R.U.|El Comité Federal de Radiodifusión.","0"
"VI.2 ¿Qué radioaficionado extranjero se encuentra exceptuado de gestionar la autorización para operar en el territorio nacional?","Los que pertenecen a algún país signatario del IARP.|Cualquier radioaficionado extranjero.","0"
