question,answers,correctAnswer
"15. ¿Qué tipo de antena puede ser una buena elección como parte de un equipo portable parabandas de HF, para ser instalada en caso de emergencia ?","Quad de 3 elementos.|Yagi de 3 elementos.|Dipolo de 1/2 longitud de onda|Helicoidal","2"
"16. ¿Cuál es el ángulo ideal entre ramas de una antena dipolo tipo “V” invertida ?","135°|45°|90°|180°","2"
"17. En un receptor el demodulador.","Produce una señal eléctrica oscilatoria de amplitud y frecuencia fija denominada portadora.|Extrae el mensaje a partir de la señal modulada.|Modifica la amplitud o la frecuencia de la portadora pura, conforme a la señal del mensaje|Amplifica la señal modulada.","1"
"18. ¿Qué elemento de los señalados, permite elevar por si solo, una tensión alterna ?","Resistencia|Transformador|Diodo|Impedancia","1"
"19. En un transmisor, el modulador:","Amplifica la señal proveniente de la antena para que su nivel sea mucho mayor al del ruido interno de las etapas subsiguientes.|Produce una señal eléctrica oscilatoria de amplitud y frecuencia fija denominada portadora.|Modifica la amplitud o frecuencia de la portadora pura, conforme a la señal del mensaje.|Amplifica la señal modulada para enviarla a la antena.","2"
"20. El valor máximo de una corriente alterna es de 200 mA. ¿Cuál es su valor eficaz ?","130 mA.|141,1 mA.|158 mA.|282,8 mA.","1"
"21. Para proteger un equipo de 220 Voltios y 1 KW de consumo, ¿qué valor de fusible sería conveniente instalar en la línea de alimentación?","500 mA|1 A|3 A|6 A","3"
"22. En un capacitor, ¿qué fenómeno se produce entre la tensión y la corriente ?","La tensión adelanta a la corriente.|La corriente adelanta a la tensión.|La tensión y la corriente están en fase.|La corriente está desfasada 360°","1"
"23. ¿Cuándo existe resonancia en un circuito ?","Cuando la reactancia capacitiva es igual a la corriente eléctrica.|Cuando la reactancia inductiva es igual a la tensión aplicada.|Cuando la reactancia capacitiva es igual a la reactancia inductiva.|Cuando la reactancia inductiva es igual a la corriente eléctrica","2"
"24. ¿Cómo se denomina el material que separa las placas de un capacitor ?","Conductor|Dieléctrico|Cátodo|Ánodo","1"
"25. ¿Los diodos comunes permiten circulación de corriente en ambas direcciones?","no|sí|sólo en fuentes de alimentación|sólo los diodos zener","0"
"26. ¿De qué elemento se compone un puente rectificador ?","Capacitores.|Diodos|Fets|Bobinas","1"
"27. ¿Qué elementos indispensables componen un transformador ?","Dos capacitores.|Un capacitor y una bobina.|Dos bobinas.|Una bobina y un diodo","2"
"28. ¿Qué elementos indispensables componen una fuente de alimentación típica de 12 Volts c.c. para una estación de radioaficionado.?","Transformador, Capacitor, regulador y fusible.|Puente de diodos, Regulador, capacitor y fusible.|Transformador, puente de diodos, capacitor, regulador y fusible.|Transformador,resistencias,capacitoryfusible","2"
"29. ¿Qué tipo de corriente entrega una fuente de alimentación típica, usada en transceptores ?","Pulsante|Continua|Alterna|Monofásica","1"
"30. ¿Cuál es una de las funciones mas importantes que realiza un transistor ?","Amplificar señales débiles.|Rectificar la tensión de línea.|Regula la frecuencia del oscilador|Atenuar señales débiles","0"
"31. ¿Cómo se denominan los elementos que conforman un transistor ?","Ánodo, emisor y grilla.|Placa, pantalla y base.|Colector, base y emisor.|Colector, base y cátodo","2"
"32. Tres capacitores de 6 nf son conectados en serie, ¿qué capacidad presenta el conjunto?","1,0 nf|2,0 nf|6,0 nf|18 nf","1"
"33. El primario de un transformador tiene 60 espiras el secundario 300 espiras, si aplicamos al primario 12 V c.a., ¿qué tensión tendremos en el secundario?","40V|50V|60V|70V","3"
"34. Se desea utilizar en la banda de 80 mts. una antena dipolo de 1⁄2 longitud de onda alimentada en su centro por un cable coaxil de 75 Ω, en la que se midieron los siguientes valores de ROE: En 3500 Khz. ROE=1,1. En 3600 Khz.: ROE=2. En 3700 Khz.: ROE=3. En 3750 Khz.: ROE=4 ¿Qué debemos hacer con dicha antena?","Alargarla|Acortarla|Aumentar la impedancia del coaxil|Inclinarla","1"
"35. Las señales emitidas en la banda de 80 m:","No llegan a refractarse y escapan de la atmósfera.|Se absorben en la capa ionosférica “D” durante el mediodía|Sólo permiten comunicaciones seguras a más de 500 Km debido a la zona de silencio|Sólo permiten comunicaciones seguras a más de 2000 Km. Debido a la zona de silencio2","1"
"36. Se dispone de cuatro resistencias (R1= 50 Ω, R2= 10 Ω, R3= 120 Ω y R4= 4700 Ω conectadas en paralelo a una fuente de alimentación de 12 V. ¿Cuál será la tensión aplicada sobre R4 ?","12V|0,0025V|47V|6V","0"
"37. Para obtener una buena relación de ROE, ¿qué es conveniente?","Alta potencia reflejada y baja potencia incidente|Baja potencia reflejada y alta potencia incidente|Alta potencia reflejada y alta potencia incidente|Baja potencia reflejada y baja potencia incidente","1"
"38. Describir en bloque un receptor superheterodino en clase de emisión A3E :","Amplificador de RF, Mezclador, Oscilador de RF, Amplificador de FI, Amplificador de Audio y parlante.|Amplificador de RF, Mezclador, Oscilador de RF, Amplificador de FI, Detector, Amplificador de audio y parlante.|Amplificador de RF, mezclador, Amplificador de FI, Detector, Amplificador de audio y parlante.|Amplificador de RF, Detector de producto, Mezclador, Detector, Amplificador de audio y parlante.","1"
"39. Definición de selectividad :","El receptor tiene la capacidad de evitar las interferencias de estaciones potentes y cercanas a la frecuencia de trabajo.|El receptor tiene la capacidad de escuchar las señales muy débiles.|El receptor tiene la capacidad de escuchar las señales muy fuertes|El receptor tiene la capacidad de bloquear las señales muy débiles","0"
"40. Definición de sensibilidad :","El receptor tiene la capacidad de evitar las interferencias de estaciones potentes y cercanas a la frecuencia de trabajo.|El receptor tiene la capacidad de escuchar las señales muy débiles.|El receptor tiene la capacidad de escuchar las señales muy fuertes|El receptor tiene la capacidad de bloquear las señales muy débiles","1"
"41. Describir en bloque un receptor de F3E :","Amplificador de RF, mezclador, filtro pasa bajos amplificador de FI. limitador, discriminador de frecuencia, amplificador de audio y parlante.|Amplificador de RF, Mezclador, Oscilador de RF, Amplificador de FI, Detector, Amplificador de audio y parlante.|Amplificador de RF, Detector de producto, Mezclador, Detector, Amplificador de audio y parlante.|Amplificador de RF, Mezclador, Oscilador de RF, Filtro, Amplificador de FI, Limitador, Discriminador de frecuencia, amplificador de audio y parlante.","3"
"42. ¿Para qué se emplea el amplificador de FI ?"," Para aumentar la ganancia de la primera etapa amplificadora de RF|Para usarlo como discriminador de frecuencia.|Para obtener ganancia y selectividad.|Para aumentar la ganancia de la ultima etapa amplificadora de AF","2"
"43. ¿Qué función cumple el mezclador en un receptor superheterodino ?","Mezclar la frecuencia de la FI con la de la señal recibida|Conversión de la señal captada en otra señal de las mismas características pero de frecuencia distinta para que pueda ser filtrada y amplificada con mayor facilidad.|Conversión de la señal captada en otra señal de características totalmente distintas a las dadas.|Ninguna es correcta","1"
"44. Se dispone de cuatro resistencias (R1= 50 Ω, R2= 10 Ω, R3= 120 Ω y R4= 4700 Ω conectadas en paralelo a una fuente de alimentación de 12 V. ¿Cuál será la potencia disipada por la resistencia R1 ?","2,88 Vatio|1,44 Vatio|0,72 Vatio|0,36 Vatio","0"
"45. Defina en bloques, un transmisor de Banda Lateral Unica (J3E) :","Oscilador de RF, Amplificador de micrófono, filtro, mezclador, amplificador lineal.|Oscilador de RF, Modulador balanceado, Amplificador de micrófono, filtro, mezclador, amplificador lineal.|Amplificador de RF, Mezclador, Oscilador de RF, Filtro, Amplificador de FI, Limitador, Discriminador de frecuencia, amplificador de audio y parlante.|Amplificador de RF, Mezclador, Oscilador de RF, Amplificador de FI, Detector, Amplificador de audio y parlante.","1"
"46. El ancho de banda ocupado por una emisión J3E aproximadamente es:","Aprox. 3 Khz.|Aprox. 6 Khz.|Aprox. 16 Khz.|Aprox. 1,5 Khz","0"
"47. El ancho de banda de una emisión de F3E banda angosta, habitual en la banda de 2 mts. es:","Aprox. 6 Khz.|Aprox. 16 Khz.|Aprox. 25 Khz.|Aprox. 3 Khz.","1"
"48. En clase de emisión F3E :","La portadora varía su amplitud con la señal de micrófono.|La señal de micrófono hace variar la frecuencia de la portadora.|La portadora no varía de frecuencia, varían los armónicos.|Se transmite la portadora modulada en frecuencia con tres tonos.","1"
"49. Disponemos de un transformador cuyo primario es alimentado con 220 V c.a. y tiene 1100 Espiras. El secundario nos deberá suministrar 15 V c.a., cuantas espiras deberá tener?","50 espiras.|60 espiras.|75 espiras.|85 espiras.","2"
"50. En clase de emisión A1A:","La portadora se modula con el micrófono.|Se transmite portadora al ritmo que marca el manipulador.|El manipulador corta la alimentación del amplificador lineal.|Se transmiten tres tonos para modular en amplitud la portadora.","1"
"51. En clase de emisión J3E :","La portadora es modulada por el audio proveniente del amplificador de RF.|La portadora es modulada por el audio proveniente del OFV.|La portadora es modulada por el audio proveniente del amplificador de micrófono.|La señal de micrófono hace variar la frecuencia de la portadora.","2"
"52. En clase de emisión A3E :","La portadora es modulada en fase.|La portadora es modulada en amplitud.|La portadora es modulada por los armónicos.|La señal de micrófono hace variar la frecuencia de la portadora.","1"
"53. ¿Qué instrumento se utiliza para ver la forma de onda en un circuito eléctrico ?","Amperímetro.|Formametro|Osciloscopio|Ondámetro","2"
"54. ¿Qué instrumento se utiliza para medir la potencia de un transmisor ?","Amperímetro|Potenciómetro|Vatímetro|Medidor de ROE","2"
"55. Para fonía el ancho del mensaje transmitido es:","50 hz|200 hz|3.000 hz|20 Khz","2"
"56. ¿Qué ventaja tiene una señal de BLU (SSB) con respecto a una señal AM?","No se pierde inteligibilidad para pequeños corrimientos en la sintonía.|La cantidad de sonido es superior.|La portadora ayuda a tener un mayor alcance|El ancho de banda es la mitad y por lo tanto se hace un mejor aprovechamiento del espectro radioeléctrico.","3"
"57. ¿Con qué instrumento se mide la frecuencia ?","Amperímetro|Vatímetro|Frecuencímetro|Potenciómetro","1"
"58. El ancho de banda de una señal de BLU (SSB) es:","La mitad de la correspondiente al mensaje.|La mitad de la correspondiente al mensaje.|Igual de la correspondiente del mensaje.|Igual al valor de la portadora.","1"
"59. Cuándo se aplica una tensión de 150 V a un circuito, la corriente medida es de 2,5A ¿Cuál es la resistencia del circuito ?","50Ω|90Ω|375Ω","3"
"60. ¿Qué intensidad de corriente circula por una resistencia de 5000 Ω si se le aplica 250 V?","0.90A|10A|0.05A|0.5A","2"
"61. Si se conectan en paralelo una resistencia de 500 Ω con otra de 1200 Ω. Cuál es la resistencia total del circuito ?","353Ω|500Ω|700Ω|1700Ω","0"
"62. La corriente que circula por una resistencia de 20 kΩ es de 150 mA. ¿Cuál es la caída de tensión que se provoca en ella ?","2500 V|3000 V|000 V|13333V","1"
"63. ¿Qué elemento se utiliza para adaptar una antena dipolo con una línea de alimentación desbalanceada ?","Transistor|Diodo|Balún|Transmatch","2"
"64. Un dipolo de media onda, ¿cómo irradia ?","En forma unidireccional.|En forma omnidireccional.|En forma bidireccional.|En forma isotrópica.","2"
"65. ¿Cuántos elementos se necesitan (como mínimo) para construir una antena del tipo Yagui ?","1|2|3|4","1"
"66. ¿Qué función cumple un oscilador?","Elimina alguna parte del contenido espectral de una señal, obteniéndose una nueva señal que es una aproximación de la original.|Decrementa la amplitud de una señal manteniendo su forma de onda.|Convierte una señal electromagnética en eléctrica.|Genera internamente señales eléctricas y tiene una salida pero ninguna entrada.","3"
"67. ¿Cuál es la longitud de onda correspondiente a una frecuencia de 3657 Khz ?","154,46 m|94,57 m|82,03 m|75,01 m","2"
"68. ¿Cuál es la longitud de una antena dipolo de 1/2 onda para operar en 28950 Khz.?","5,34 m|6,23 m|4,9 m|9,84 m","2"
"69. ¿Cuál es la longitud de una de las ramas del dipolo de 1/2 onda para la frecuencia de 7043 Khz ?","10,11 m|9,23 m|12,56 m|20,22 m","0"
"70. Un filtro :","Genera internamente señales eléctricas, tiene una salida pero ninguna entrada.|Decrementa la amplitud de una señal manteniendo su forma de onda.|Elimina alguna parte del contenido espectral de una señal, obteniéndose una nueva señal que es una aproximación de la original.|Convierte una señal electromagnética en eléctrica.","2"
"71. Una antena vertical de 1/4 de onda para la frecuencia de 146 MHz. deberá tener una longitud aproximada de:","48,8 cm|24,4 cm|97,7 cm|2 mts","0"
"72. ¿Cómo irradia una antena vertical ?","Unidireccionalmente.|Omnidireccionalmente.|Bidireccionalmente|Isotrópicamente","1"
"73. ¿Cómo irradia una antena común, tipo Yagui de 3 elementos ?","Omnidireccionalmente.|Direccionalmente.|Isotrópicamente.|Con polarización circular.","1"
"74. Una antena direccional de 3 elementos tipo Yagui, bien construida y optimizada para la banda de VHF. ¿Qué ganancia tiene (respecto antena isotrópica) ?","Aproximadamente de 3 a 5 dB.|Aproximadamente de 6 a 8 dB|Aproximadamente de 8 a 10 dB.|Aproximadamente de 9a 11dB","1"
"75. Un amplificador:","Incrementa la amplitud de una señal manteniendo su forma de onda.|Elimina alguna parte del contenido espectral de una señal, obteniéndose una nueva señal que es una aproximación de la original.|Genera internamente señales eléctricas y tiene una salida pero ninguna entrada.|Convierte una señal eléctrica en electromagnética.","0"
"76. El cable coaxil RG-58U tiene una impedancia característica de:","50Ω|75Ω|300Ω|600Ω","0"
"77. Se desea enviar como mensaje un tono de 3 Khz., en una señal de BLU banda inferior (BLI) cuya frecuencia es 3.500 Khz, la frecuencia de la señal modulada estará dada por:","Una componente a 3.497 Khz, una componente a 3.500 Khz y una componente a 3.503 Khz.|Una componente a 3.497 Khz y una componente a 3.500 Khz.|Una componente a 3.497 Khz.|Una componente a 3.500 Khz.","2"
"78. El cable coaxil RG-8-U y el RG-213U tienen una impedancia característica de:","Aproximadamente 50Ω|Aproximadamente 75Ω|Aproximadamente 300Ω|Aproximadamente 600Ω","0"
"79. Un transmisor en 146 Mhz. alimenta en un extremo una línea coaxil RG-58-U de 100 mts. y en el otro extremo se conecta una antena. Colocándose vatímetros en ambas puntas, ¿qué se verifica ?","La potencia que llega a la antena es igual a la que sale del transmisor.|La potencia que llega a la antena es menor que la que sale del transmisor.|La potencia que llega a la antena es mayor que la que sale del transmisor.|La potencia que llega a la antena es inversamente proporcional a la que sale del transmisor.","1"
"80. Cuando se recepcionan dos señales de BLU (SSB) que están en una misma frecuencia:","Se cancelan entre sí y se escucha solamente ruido.|Se interferirán y se escuchara un sonido inteligible.|Se escucharan las dos, de acuerdo a la intensidad que se reciben.|La que llegue con mayor intensidad tapara a la otra","2"
"81. ¿Qué permite realizar el sintonizador de antena (transmatch) ?","Amplificar la potencia.|Adaptar impedancias entre transmisor y línea de alimentación.|Adaptar impedancias entre línea de alimentación y antena.|Enfasar dos antenas direccionales.","1"
"82. ¿A qué se le llama I.T.V .?","Interferencia de chispas de automotor.|interferencia a teléfonos.|Interferencia a televisores.|Interferencia total en VHF","2"
"83. ¿Qué antena tiene mas ganancia en estaciones VHF móviles ?","1/4 de onda|5/8 de onda.|Cola de chancho (0 dB)|1,5 dBi","1"
"84. ¿Cuál es habitualmente, la impedancia de salida de los transceptores que se comercializan para uso de radioaficionados ?","75Ω|300Ω|50Ω|35Ω","2"
"85. Si por error se selecciona la BLI (SLB) en BLU (SSB) para recibir una señal de banda superior:","Se escuchará una señal con tonalidad más aguda.|Se escuchara una señal ininteligible.|Se podrá escuchar la señal sin dificultad en caso de estar el receptor en la frecuencia correcta, caso contrario se escuchará la voz distorsionada.|Se escuchará una señal con tonalidad más grave.","1"
"86. ¿Cuál es la impedancia en el centro de una antena dipolo de 1/2 longitud de onda, tipo “V” invertida con sus ramas a 90o ?","75Ω|52Ω|35Ω|125Ω","1"
"87. La frecuencia de trabajo de un transmisor es de 21.000 Khz. ¿Cuál es su frecuencia en MHz.?","0,21 MHz.|21 MHz.|210 MHz|2,1 MHz","1"
"88. Un resistor variable es llamado:","Potenciómetro|Capacitor.|Termistor.|Variac","0"
"89. En una antena direccional tipo Yagui de tres elementos, ¿cómo se denominan sus elementos ?","Director, Balún, Excitado.|Director, Excitado, Reflector.|Director, Excitado, Pasivo.|Director, Activo, Pasivo.","1"
"90. ¿Cuál es la fórmula aproximada de cálculo de una antena vertical de 1/4 de longitud de onda ?","142,5/Frecuencia (MHz)|72/Frecuencia (MHz)|142,5/Velocidad de la luz.|Frecuencia (MHz) / 72","1"
"91. La propagación de las ondas de radio por reflexión ionosférica en bandas de HF está influida principalmente por:","El ciclo de manchas solares.|La meteorología en el trayecto de la comunicación.|Ninguna de las opciones a) ó b).|La posición planetaria","0"
"92. ¿A qué se denomina polarización de una onda ?","Al componente de iones positivos y negativos de la misma|A que la misma llega a los polos|A la posición relativa (vertical u horizontal) de su campo electromagnético|A la polaridad (positiva ó negativa) de la señal aplicada","2"
"93. La densidad, composición y altura de las capas ionosféricas:","Cambia con la luna y el estado meteorológico.|Cambia con el ciclo solar, la época del año, la hora y la latitud del lugar.|Es permanente y no cambia.|Cambia en relación a la posición planetaria","1"
"94. La banda de 80 mts ofrece razonables posibilidades de comunicarse con la Antártida:","En invierno y a la media noche.|En cualquier época del año al mediodía.|Las respuestas a) y b) son correctas.|La banda de 80 mts. no ofrece ninguna posibilidad de comunicarse con la Antártida.","0"
"95. ¿Qué ventajas ofrece el oscilador a cristal de cuarzo sobre otro con inductancia y condensador?","Que es un circuito más sencillo|Que el oscilador de cristal está libre de armónicos y el otro no|Que su estabilidad de frecuencia es mucho mayor|Que es mas económico.","2"
"96. ¿Cómo se propagan usualmente las señales de VHF?","Se curvan en la ionosfera.|Se mueven en círculos.|Viajan en línea recta.|Viajan en ángulos rectos","2"
"97. ¿Cómo es la frecuencia de una armónica respecto a la frecuencia fundamental ?","Es apenas algo más alta.|Es apenas algo más baja.|Es exactamente un múltiplo.|Ninguna de las opciones indicadas","2"
"98. Si los extremos de un dipolo de media onda horizontal señalan al Este y al Oeste, ¿en qué dirección irradia la antena ?","Fundamentalmente de Norte a Sur.|Fundamentalmente de Este a Oeste.|Fundamentalmente de arriba hacia abajo.|En todas direcciones por ser omnidireccional","0"
"99. ¿Qué elemento se utiliza para irradiar energía ?","Líneas de transmisión.|Antena.|Transmisores.|Amplificadores de RF.","1"
"100. Un transceptor es un equipo:","Transmisor especifico.|Que reúne las funciones de transmisor y receptor.|Receptor especifico.|Receptor bibanda","1"
"101. El PTT de un equipo es:","La etapa de transmisión.|El interruptor que se debe presionar para recibir.|El interruptor que se debe presionar para transmitir.|La fuente de alimentación (Power To Transmiter)","2"
"102. La antena puede ser desconectada del transmisor y operar en vacío:","Cuando se quiere hacer comunicados de corta distancia.|Cuando el transmisor esta en clase C.|Nunca.|Cuando se opera en VHF ó UHF","2"
"103. En un receptor, ¿qué etapa está inmediatamente después de la antena ?","Mezclador.|Amplificador de FI.|Amplificador de RF.|Amplificador de AF","2"
"104. En un transformador reductor, el número de vueltas del primario es:","Menor que el secundario|Mayor que el secundario|Igual que las del secundario.|La mitad que las del secundario.","1"
"105. Una señal de BLS (USB) ubicada en los 3.750 Khz. , ocupa el sector de frecuencias comprendido entre:","3.747 y 3.750 Khz.|3.750 y 3.753 Khz.|3.747 y 3.753 Khz.|3.748 y 3.752 Khz.","1"
"106. ¿Qué ventaja tiene una señal de BLS (USB) con respecto a una señal BLI (LSB)?","No pierde inteligibilidad para pequeños corrimientos en la sintonía.|Tiene mucha mayor inmunidad al ruido.|No tiene ninguna ventaja ni desventaja, solo presentan diferencias técnicas en el transmisor y el receptor.|Es más fácil obtener el mensaje a partir de la señal modulada.","2"
"107. ¿Qué significa la sigla ALC ?","Control automático de nivel.|Control anual de nivel.|Control manual de audio.|Amplificador lineal controlado.","0"
"108. ¿Qué relación existe entre la frecuencia y su correspondiente longitud de onda ?","Son directamente proporcionales, al aumentar una la otra también aumenta.|Son inversamente proporcionales, al aumentar una la otra disminuye.|La frecuencia es directamente proporcional al cuadrado de la longitud de onda.|La frecuencia es directamente proporcional a la mitad de la longitud de onda.","1"
"109. ¿Qué polarización se utiliza habitualmente para la comunicación por repetidoras en la banda de 2 m ?","Circular.|Vertical.|Horizontal.|Oblicua a 45°","1"
"110. ¿Qué polarización de antena se utiliza habitualmente para la comunicación de dos estaciones en la banda de VHF y UHF para el modo Banda Lateral Unica ?","Circular.|Vertical.|Horizontal.|Oblicua a 45°","2"
"111. ¿Qué significa la sigla R.O.E. ?","Relación de polarización Oblicua Espacial.|Red Observadores Espaciales.|Relación de Ondas Especiales.|Relación de Ondas Estacionarias.","3"
"112. ¿Con qué instrumento medimos la R.O.E. ?","Frecuencímetro.|Amperímetro.|Medidor de ondas estacionarias.|Osciloscopio","2"
"113. Si se duplica la frecuencia de la corriente que atraviesa una inductancia , ¿qué sucede con la reactancia ?","Se duplica.|Se reduce a la mitad.|Se cuadriplica.|Queda igual.","0"
"114. Desde la antena, en un receptor, ¿cuál es la etapa que antecede al amplificador de F.I.?","Amplificador de R.F.|Mezclador.|Detector.|Amplificador de AF","1"
"115. Desde la antena, en un receptor, ¿cuál es la etapa que está inmediatamente después del detector ?","Amplificador de R.F.|Amplificador de F.I.|Amplificador de audio.|Mezclador","2"
"116. Desde la antena, en un receptor, ¿cuál es la etapa que está inmediatamente antes de la etapa detectora ?","Amplificador de R.F.|Amplificador de F.I.|Amplificador de AF.|Ninguna de las nombradas.","1"
"117. ¿Cuál es la velocidad de las ondas electromagnéticas en el espacio libre?","3.000.000 Km./seg.|300.000 Km./seg.|300/Frecuencia (Mhz.).|142,5/Frecuencia (MHz).","1"
"118. Los coaxiles son líneas de transmisión:","Balanceadas.|Desbalanceadas.|De muy alta impedancia|Para conectar en el punto de máxima tensión de la antena","1"
"119. Las líneas abiertas son líneas de transmisión:","Balanceadas.|Desbalanceadas.|De muy baja impedancia.|Para conectar en el punto de máxima corriente de la antena.","0"
"120. ¿Cómo están formadas las ondas de radio ?.","Por campos eléctricos.|Por campos magnéticos.|Por campos eléctricos y magnéticos.|Por campos electroestáticos.","2"
"121. Si la señal de una estación en VHF llega muy débil, al límite del umbral del Squelch, ¿qué señal le daría?","Busy|S-1|S-9|S-5","1"
"122. Los “Handies” bibanda utilizados por los radioaficionados, ¿en qué clase de emisión emiten ?","F3E|A3E|J3E|J2D","0"
"123. Si una estación en la banda de 80 metros llega con muy buena señal, ¿qué señal le daría ?","S-3 + 9 dB|S-9 + 20 dB|S-20 + 9 dB|S-3","1"
"124. En el símbolo de la batería, la línea mas corta , ¿qué terminal indica ?","Positivo.|Negativo.|Neutro.|Fase","1"
"125. Se dispone de cuatro resistencias (R1= 50 Ω, R2= 10 Ω R3= 120 Ω y R4= 4700 conectadas en paralelo a una fuente de alimentación de 12 Volts. ¿Qué corriente circulará por R2 ?","1200 mA.|120 mA.|12 mA.|1,2 mA.","0"
"126. Se dispone de cuatro resistencias (R1= 50 Ω, R2= 10 Ω, R3= 120 Ω y R4= 4700 Ω)conectadas en paralelo a una fuente de alimentación de 12 Volts. ¿Qué corriente circulará por R1 ?","10 mA|240 mA|1000 mA|24 mA","1"
"127. ¿En qué posición un dipolo de 80 m, transmite mas intensamente hacia un lado?","“V” invertida.|Inclinado.|Horizontal|Vertical.","1"
"128. En un receptor, el amplificador de audio frecuencia:","Amplifica la señal modulada para enviarla a la antena.|Extrae el mensaje a partir de la señal demodulada.|Modifica la amplitud o la frecuencia de la portadora pura, conforme a la señal del mensaje.|Amplifica la señal demodulada.","3"
"129. Se dispone de cuatro resistencias (R1= 50 Ω, R2= 10 Ω, R3= 120 Ω y R4= 4700 Ω) conectadas en paralelo a una fuente de alimentación de 12 Volts. ¿Qué corriente circulará por R4 ?","2,55 mA.|25,53 mA.|255,31mA.|2,55 A.","0"
"130. En un transceptor, por medio del comando RF GAIN","Se controla la ganancia de la sección de radio frecuencia del transmisor.|Se controla la ganancia de la sección de radio frecuencia del receptor.|Se controla la ganancia de la sección de audio frecuencia del transmisor.|Se controla la ganancia de la sección de audio frecuencia del receptor.","1"
"131. Las líneas abiertas tienen:","Menor perdida que las líneas coaxiles.|Igual perdida que las líneas coaxiles.|Mayor pérdida que las líneas coaxiles.|Tiene el doble de pérdida que las líneas coaxiles.","0"
"132. ¿Cuál es la constante práctica que se utiliza para el cálculo de antenas dipolos de 1/2 longitud de onda según la formula Longitud = K/f (MHz) ?","K=72|K=132,5|K=142,5|K=300","2"
"133. En un transceptor, por medio del comando AF GAIN:","Se controla la ganancia de la sección de audio frecuencia del transmisor.|Se controla la ganancia de la sección de audio frecuencia del receptor.|Se controla la ganancia de la sección de radio frecuencia del transmisor.|Se controla la ganancia de la sección de radio frecuencia del receptor.","1"
"134. En un transceptor, por medio del comando SQUELCH:","Se atenúa el ruido de las estaciones que llegan con señales débiles.|Se atenúa el ruido de las estaciones que llegan con señales fuertes.|Se silencia el audio cuando a la entrada del receptor no se detecta señal en la frecuencia de trabajo.|Aumenta la ganancia del receptor para estaciones débiles y la disminuye para estaciones fuertes.","2"
"135. En un transceptor, por medio del comando MODE:","Se selecciona los modo de operación AM, BLU (SSB), BLU (LSB), CW y FM.|Se selecciona la frecuencia de operación de acuerdo a las memorias programadas.|Se controla la amplitud de la portadora a transmitir en AM, BLU (SSB), BLU (LSB) y FM.|Se selecciona la banda de operación.","0"
"136. ¿A qué se llama amplificador lineal ?","A la etapa que amplifica una fuente de alimentación.|A la etapa que amplifica la potencia de RF de un transmisor.|A la etapa que opera únicamente con componentes lineales|A la etapa que multiplica “n” veces la tensión domiciliaria.","1"
